Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Albany,Weekly,1/7/2019 0:00,Conventional,1.07,129222.29,3789.3,112635.18,158,12639.81,8877.95,3761.86,0
Albany,Weekly,1/7/2019 0:00,Organic,1.41,5006.34,31.85,624.66,0,4349.83,4349.83,0,0
Albany,Weekly,1/13/2019 0:00,Conventional,1.09,133875.68,3134.59,119057.57,193.24,11490.28,8247.7,3222.58,20
Albany,Weekly,1/13/2019 0:00,Organic,1.28,6013.38,35.38,525.16,0,5452.84,5452.84,0,0
Albany,Weekly,1/20/2019 0:00,Conventional,1.17,168796.32,4646.85,145017.45,190.22,18941.8,12096.6,6845.2,0
Albany,Weekly,1/20/2019 0:00,Organic,1.44,4690.37,15.83,521.2,0,4153.34,4153.34,0,0
Albany,Weekly,1/27/2019 0:00,Conventional,1.25,89103.75,3594.66,72427.35,220.21,12861.53,9891.6,2966.6,3.33
Albany,Weekly,1/27/2019 0:00,Organic,1.31,3970.02,16.7,448.22,0,3505.1,3505.1,0,0
Albany,Weekly,2/3/2019 0:00,Conventional,0.98,213344.02,4467.13,195884.03,132.44,12860.42,10403.62,2456.8,0
Albany,Weekly,2/3/2019 0:00,Organic,1.27,4530.76,29.54,427.01,0,4074.21,4074.21,0,0
Albany,Weekly,2/10/2019 0:00,Conventional,1.02,124204.74,5071.69,105911.87,168,13053.18,9722.42,3330.76,0
Albany,Weekly,2/10/2019 0:00,Organic,1.24,4483.93,152.14,462.45,0,3869.34,3869.34,0,0
Albany,Weekly,2/17/2019 0:00,Conventional,1.24,106200.32,4972.37,88494.87,232,12501.08,9376.44,3124.64,0
Albany,Weekly,2/17/2019 0:00,Organic,1.35,3963.57,74.58,549.55,0,3339.44,3339.44,0,0
Albany,Weekly,2/24/2019 0:00,Conventional,1.08,130748.31,4014.41,115060.05,212.07,11461.78,7725.65,3732.8,3.33
Albany,Weekly,2/24/2019 0:00,Organic,1.35,4185.31,45.89,623.59,0,3515.83,3515.83,0,0
Albany,Weekly,3/3/2019 0:00,Conventional,1.3,109572.01,4208.57,91894.92,245,13223.52,7581.66,5615.19,26.67
Albany,Weekly,3/3/2019 0:00,Organic,1.23,5775.92,124.45,535.64,0,5115.83,5115.83,0,0
Albany,Weekly,3/10/2019 0:00,Conventional,0.96,181735.5,3950.79,166195.02,259.21,11330.48,7440.13,3189.24,701.11
Albany,Weekly,3/10/2019 0:00,Organic,1.2,5630,56.17,440.45,0,5133.38,5133.38,0,0
Albany,Weekly,3/17/2019 0:00,Conventional,1.32,108441.54,4115.56,87238.11,243.42,16844.45,9637.89,6306.56,900
Albany,Weekly,3/17/2019 0:00,Organic,1.26,5196.32,106.78,502.37,0,4587.17,4587.17,0,0
Albany,Weekly,3/24/2019 0:00,Conventional,1.4,157694.28,4257.15,139531.42,204,13701.71,9962.35,3709.36,30
Albany,Weekly,3/24/2019 0:00,Organic,1.27,4907.84,71.46,510.12,0,4326.26,4320.84,5.42,0
Albany,Weekly,3/31/2019 0:00,Conventional ,1.25,114676.3,3913.21,90802.73,233.3,19727.06,11886.62,7837.11,3.33
Albany,Weekly,3/31/2019 0:00,Organic,1.57,3091.79,35.83,469.54,0,2586.42,2586.42,0,0
Albany,Weekly,4/7/2019 0:00,Conventional ,1.21,170158.95,5193.29,149841.39,302.65,14821.62,9030.87,5787.42,3.33
Albany,Weekly,4/7/2019 0:00,Organic,1.57,3191.14,114.92,582.03,0,2494.19,2494.19,0,0
Albany,Weekly,4/14/2019 0:00,Conventional ,1.39,101624.43,4283.86,83452.75,255.43,13632.39,8295.76,5329.96,6.67
Albany,Weekly,4/14/2019 0:00,Organic,1.55,4825.59,1327.08,863.83,0,2634.68,2618.45,16.23,0
Albany,Weekly,4/21/2019 0:00,Conventional ,1.4,109870.74,3728.75,91354.29,328.31,14459.39,8497.43,5961.96,0
Albany,Weekly,4/21/2019 0:00,Organic,1.92,2833.15,214.74,724.1,0,1894.31,1894.31,0,0
Albany,Weekly,4/28/2019 0:00,Conventional ,1.47,92531.61,3985.81,75404.18,272.95,12868.67,7533.62,5325.05,10
Albany,Weekly,4/28/2019 0:00,Organic,1.87,2524.23,146.59,658.89,0,1718.75,1712.08,6.67,0
Albany,Weekly,5/5/2019 0:00,Conventional ,1.15,176984.38,5508.48,157496.43,413.21,13566.26,8906,4313.59,346.67
Albany,Weekly,5/5/2019 0:00,Organic,1.89,2750.62,154.02,565.15,0,2031.45,2031.45,0,0
Albany,Weekly,5/12/2019 0:00,Conventional ,1.42,124333.79,4632.56,104854.87,248.47,14597.89,9402.56,5183.11,12.22
Albany,Weekly,5/12/2019 0:00,Organic,1.76,4082.72,44.42,686.03,0,3352.27,3352.27,0,0
Albany,Weekly,5/19/2019 0:00,Conventional ,1.11,139856.74,3590.56,120902.91,275,15088.27,9649.82,5426.22,12.23
